id_organomar,ponto,ambiente,matriz,campanha,latitude,longitude,grupo,unidade,analito,concentracao_padronizada
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,c2_naftaleno,0
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,c2_naftaleno,1
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,c2_naftaleno,0
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,c2_naftaleno,0
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,c2_naftaleno,0
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,c2_naftaleno,0.58
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,c2_naftaleno,0
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,c3_naftaleno,1
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,c3_naftaleno,0.18
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,c3_naftaleno,0
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,c3_naftaleno,0
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,c3_naftaleno,0
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,c3_naftaleno,0.68
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,c3_naftaleno,0.03
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,c3_naftaleno,0
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,c3_naftaleno,0
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,c3_naftaleno,0.2
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,c3_naftaleno,0
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,c4_naftaleno,1
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,c4_naftaleno,0.16
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,c4_naftaleno,0.04
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,c4_naftaleno,0.04
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,c4_naftaleno,0.03
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,c4_naftaleno,0.5
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,c4_naftaleno,0.15
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,c4_naftaleno,0.08
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,c4_naftaleno,0
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,c4_naftaleno,0.38
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,c4_naftaleno,0.12
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,acenaftileno,1
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,acenaftileno,0.67
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,acenaftileno,0.17
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,acenaftileno,0.24
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,acenaftileno,0.33
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,acenaftileno,0.98
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,acenaftileno,0.24
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,acenaftileno,0.83
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,acenaftileno,0.07
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,acenaftileno,0.24
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,acenaftileno,0.28
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,acenafteno,1
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,acenafteno,0.64
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,acenafteno,0.14
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,acenafteno,0.27
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,acenafteno,0.36
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,acenafteno,0.5
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,acenafteno,0.14
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,acenafteno,0.32
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,acenafteno,0.14
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,acenafteno,0.36
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,acenafteno,0.14
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,fluoreno,1
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,fluoreno,0.76
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,fluoreno,0.17
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,fluoreno,0.19
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,fluoreno,0.21
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,fluoreno,0.69
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,fluoreno,0.04
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,fluoreno,0.21
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,fluoreno,0
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,fluoreno,0.11
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,fluoreno,0.04
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,c1_fluoreno,1
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,c1_fluoreno,0.37
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,c1_fluoreno,0.05
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,c1_fluoreno,0
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,c1_fluoreno,0.02
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,c1_fluoreno,0.41
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,c1_fluoreno,0.07
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,c1_fluoreno,0.11
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,c1_fluoreno,0
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,c1_fluoreno,0.06
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,c1_fluoreno,0
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,c2_fluoreno,1
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,c2_fluoreno,0.48
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,c2_fluoreno,0
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,c2_fluoreno,0.09
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,c2_fluoreno,0
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,c2_fluoreno,0.03
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,c2_fluoreno,0.04
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,c2_fluoreno,0.07
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,c2_fluoreno,0
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,c2_fluoreno,0.14
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,c2_fluoreno,0.01
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,c3_fluoreno,1
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,c3_fluoreno,0.17
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,c3_fluoreno,0.07
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,c3_fluoreno,0.11
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,c3_fluoreno,0.12
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,c3_fluoreno,0.44
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,c3_fluoreno,0.08
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,c3_fluoreno,0.09
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,c3_fluoreno,0.03
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,c3_fluoreno,0.31
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,c3_fluoreno,0.12
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,fenantreno,1
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,fenantreno,0.75
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,fenantreno,0.04
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,fenantreno,0.25
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,fenantreno,0.29
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,fenantreno,0.88
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,fenantreno,0.04
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,fenantreno,0.47
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,fenantreno,0
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,fenantreno,0.24
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,fenantreno,0.01
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,antraceno,0.84
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,antraceno,1
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,antraceno,0.14
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,antraceno,0.31
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,antraceno,0.34
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,antraceno,0.67
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,antraceno,0.16
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,antraceno,0.53
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,antraceno,0
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,antraceno,0.13
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,antraceno,0.04
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,c1_fenantreno_antraceno,1
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,c1_fenantreno_antraceno,0.53
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,c1_fenantreno_antraceno,0.01
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,c1_fenantreno_antraceno,0.13
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,c1_fenantreno_antraceno,0.17
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,c1_fenantreno_antraceno,0.76
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,c1_fenantreno_antraceno,0.03
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,c1_fenantreno_antraceno,0.14
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,c1_fenantreno_antraceno,0
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,c1_fenantreno_antraceno,0.36
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,c1_fenantreno_antraceno,0.01
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,c2_fenantreno_antraceno,1
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,c2_fenantreno_antraceno,0.19
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,c2_fenantreno_antraceno,0
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,c2_fenantreno_antraceno,0.1
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,c2_fenantreno_antraceno,0.13
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,c2_fenantreno_antraceno,0.53
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,c2_fenantreno_antraceno,0.04
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,c2_fenantreno_antraceno,0.15
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,c2_fenantreno_antraceno,0
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,c2_fenantreno_antraceno,0.63
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,c2_fenantreno_antraceno,0.04
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,c3_fenantreno_antraceno,1
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,c3_fenantreno_antraceno,0.14
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,c3_fenantreno_antraceno,0.03
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,c3_fenantreno_antraceno,0.08
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,c3_fenantreno_antraceno,0.09
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,c3_fenantreno_antraceno,0.43
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,c3_fenantreno_antraceno,0.01
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,c3_fenantreno_antraceno,0.12
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,c3_fenantreno_antraceno,0
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,c3_fenantreno_antraceno,0.97
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,c3_fenantreno_antraceno,0.06
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,c4_fenantreno_antraceno,0.83
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,c4_fenantreno_antraceno,0.12
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,c4_fenantreno_antraceno,0.01
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,c4_fenantreno_antraceno,0.06
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,c4_fenantreno_antraceno,0.06
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,c4_fenantreno_antraceno,0.29
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,c4_fenantreno_antraceno,0.01
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,c4_fenantreno_antraceno,0.07
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,c4_fenantreno_antraceno,0
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,c4_fenantreno_antraceno,1
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,c4_fenantreno_antraceno,0.05
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,fluoranteno,1
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,fluoranteno,0.67
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,fluoranteno,0.14
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,fluoranteno,0.26
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,fluoranteno,0.44
om5426,P6,Estuário e Manguezal,Sedimento,Agosto/2022,-8.727,-35.096,HPAs,ng_g_ps,fluoranteno,0.66
om5392,P11,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.766,-35.093,HPAs,ng_g_ps,fluoranteno,0.29
om5393,P12,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.762,-35.099,HPAs,ng_g_ps,fluoranteno,0.76
om5394,P13,Baía e Recifes de Corais,Sedimento,Agosto/2022,-8.783,-35.097,HPAs,ng_g_ps,fluoranteno,0.02
om5401,P10,Estuário e Manguezal,Sedimento,Agosto/2022,-8.788,-35.105,HPAs,ng_g_ps,fluoranteno,0.11
om5402,P9,Estuário e Manguezal,Sedimento,Agosto/2022,-8.784,-35.106,HPAs,ng_g_ps,fluoranteno,0.15
om5421,P1,Estuário e Manguezal,Sedimento,Agosto/2022,-8.672,-35.13,HPAs,ng_g_ps,pireno,1
om5422,P2,Estuário e Manguezal,Sedimento,Agosto/2022,-8.638,-35.085111,HPAs,ng_g_ps,pireno,0.58
om5423,P3,Estuário e Manguezal,Sedimento,Agosto/2022,-8.651,-35.085192,HPAs,ng_g_ps,pireno,0.13
om5424,P4,Estuário e Manguezal,Sedimento,Agosto/2022,-8.682,-35.114,HPAs,ng_g_ps,pireno,0.23
om5425,P5,Estuário e Manguezal,Sedimento,Agosto/2022,-8.683,-35.102,HPAs,ng_g_ps,pireno,0.36
